iter	Passed	Remaining
0	0	702
1	1	659
2	1	620
3	2	600
4	3	604
5	3	601
6	4	589
7	4	580
8	5	579
9	5	571
10	6	567
11	6	563
12	7	561
13	7	556
14	8	561
15	9	560
16	9	562
17	10	558
18	10	555
19	11	552
20	11	551
21	12	548
22	12	545
23	13	547
24	14	546
25	14	546
26	15	544
27	15	542
28	16	542
29	16	541
30	17	542
31	17	543
32	18	544
33	19	546
34	19	544
35	20	543
36	20	543
37	21	540
38	21	539
39	22	539
40	23	538
41	23	538
42	24	537
43	24	540
44	25	538
45	26	539
46	26	537
47	27	537
48	27	536
49	28	535
50	28	533
51	29	532
52	29	532
53	30	532
54	30	532
55	31	531
56	32	531
57	32	531
58	33	530
59	33	528
60	34	527
61	34	527
62	35	527
63	36	527
64	36	527
65	37	527
66	37	527
67	38	522
68	38	521
69	39	520
70	39	519
71	40	518
72	40	518
73	41	517
74	42	518
75	42	517
76	43	516
77	43	515
78	44	514
79	44	514
80	45	512
81	45	511
82	46	511
83	46	511
84	47	509
85	47	507
86	48	505
87	48	504
88	49	503
89	49	503
90	50	502
91	50	501
92	51	501
93	52	501
94	52	501
95	53	501
96	53	502
97	54	503
98	55	504
99	56	504
100	56	504
101	57	503
102	58	505
103	58	507
104	59	509
105	60	509
106	61	511
107	62	513
108	63	515
109	63	517
110	64	519
111	65	521
112	66	522
113	67	522
114	68	524
115	68	524
116	69	523
117	70	526
118	71	525
119	71	527
120	72	529
121	73	530
122	74	528
123	74	528
124	75	529
125	76	529
126	77	529
127	77	527
128	78	527
129	78	526
130	79	526
131	79	525
132	80	525
133	81	525
134	81	525
135	82	525
136	83	524
137	83	524
138	84	524
139	85	524
140	86	525
141	87	526
142	87	527
143	88	527
144	89	527
145	90	527
146	90	527
147	91	527
148	92	527
149	93	527
150	93	527
151	94	526
152	95	526
153	95	526
154	96	525
155	97	525
156	97	524
157	98	523
158	98	523
159	99	522
160	100	521
161	100	520
162	101	520
163	102	519
164	102	518
165	103	517
166	103	516
167	104	515
168	104	514
169	105	513
170	105	512
171	106	511
172	106	510
173	107	509
174	107	509
175	108	508
176	109	506
177	109	505
178	110	504
179	110	503
180	110	501
181	111	499
182	111	498
183	112	498
184	112	497
185	113	496
